cloudy-with-a-chance-of-meatballs,phil-lord christopher-miller-3,bill-hader anna-faris james-caan andy-samberg bruce-campbell bobbe-j-thompson mr-t-1 benjamin-bratt neil-patrick-harris max-neuwirth al-roker lauren-graham will-forte angela-shelton-1 peter-siragusa neil-flynn liz-cackowski isabella-acres lori-alan shane-baumel bob-bergen cody-cameron marsha-clark john-cygan ann-dominic paul-eiding jess-harnell gary-a-hecker phil-lord sherry-lynn danny-mann mona-marshall mickie-mcgowan christopher-miller-3 laraine-newman jan-rabson grace-rolek-1 jeremy-shada will-shadley melissa-sturm ariel-winter
cloudy-with-a-chance-of-meatballs-2,cody-cameron kris-pearn,bill-hader anna-faris james-caan will-forte andy-samberg benjamin-bratt neil-patrick-harris terry-crews kristen-schaal cody-cameron melissa-sturm kris-pearn craig-kellman-1 khamani-griffin bridget-hoffman al-roker steve-alterman david-cowgill eddie-frierson elisa-gabrielli jackie-gonneau tania-gunadi wendy-hoffman walter-jones-1 ashley-lambert scott-menville david-sheinkopf peter-siragusa marina-squerciati kelly-stables shane-sweet maddie-taylor june-christopher-1
clue,jonathan-lynn,eileen-brennan tim-curry madeline-kahn christopher-lloyd michael-mckean martin-mull lesley-ann-warren colleen-camp lee-ving bill-henderson jane-wiedlin jeffrey-kramer kellye-nakahara will-nye-1 rick-goldman don-camp howard-hesseman
clueless,amy-heckerling,alicia-silverstone stacey-dash brittany-murphy paul-rudd donald-faison elisa-donovan breckin-meyer jeremy-sisto dan-hedaya wallace-shawn twink-caplan justin-walker sabastian-rashidi herb-hall julie-brown susan-mohun nicole-bilderback ron-orbach sean-holland roger-kabler jace-alexander-1 josh-lozoff carl-gottlieb joseph-d-reitman anthony-beninati micki-duran gregg-russell jermaine-montell danielle-eckert amy-heckerling michael-klesic sam-maccarone monica-eva-foster
cold-mountain,anthony-minghella,jude-law nicole-kidman renee-zellweger eileen-atkins brendan-gleeson philip-seymour-hoffman natalie-portman emily-deschanel giovanni-ribisi donald-sutherland ray-winstone kathy-baker charlie-hunnam ethan-suplee jena-malone lucas-black taryn-manning tom-aldredge james-rebhorn cillian-murphy jack-white william-boyer jamie-lee-1 jen-apgar
the-color-of-money,martin-scorsese,paul-newman tom-cruise mary-elizabeth-mastrantonio helen-shaver john-turturro bill-cobbs robert-agins alvin-anastasia randall-arney elizabeth-bracco vito-dambrosio ron-dean lisa-dodson donald-a-feeney paul-geier carey-goldenberg joe-guastaferro paul-herman mark-jarvis lawrence-linn keith-mccready jimmy-mataya grady-mathews carol-messing steve-mizerak rick-mohr lloyd-moss michael-nash mario-nieves miguel-nino andy-nolfo ernest-perry-jr jerry-piller iggy-pop richard-price juan-ramirez alex-ross-1 peter-saxe charles-scorsese rodrick-selby christina-sigel harold-l-simonsen fred-squillo brian-sunina wanda-christine forest-whitaker jim-widlowski bruce-a-young zoe-1
the-constant-gardener,fernando-meirelles,ralph-fiennes rachel-weisz danny-huston bill-nighy donald-sumpter pete-postlethwaite richard-mccabe hubert-kounde daniele-harford bernard-otieno-oduor damaris-itenyo-agweyu keith-pearson john-sibi-okumu archie-panjabi gerard-mcsorley juliet-aubrey jacqueline-maribe donald-apiyo anneke-kim-sarnau rupert-simonian
contact,robert-zemeckis,jodie-foster matthew-mcconaughey james-woods john-hurt tom-skerritt william-fichtner david-morse angela-bassett geoffrey-blake max-martini rob-lowe jake-busey jena-malone tucker-smallwood sami-chester henry-strozier haynes-brooke timothy-mcneil laura-elena-surillo michael-chaban larry-king thomas-garner conroy-chino dan-gifford vance-valencia donna-kelley leon-harris-1 claire-shipman behrooz-afrakhan saemi-nakamura maria-celeste-arraras tabitha-soren geraldo-rivera-1 ian-whitcomb jay-leno michael-albala ned-netterville leo-lee william-jordan david-st-james steven-ford alexander-zemeckis-1 janie-peterson philippe-bergeron jennifer-balgobin anthony-hamilton-4 rebecca-t-beucler marc-macaulay jeffery-thomas-johnson-1 yuji-okumoto gerry-griffin brian-alston rob-elk mark-thomason-1 jose-rey-1 todd-patrick-breaugh alex-veadov alice-kushida robin-gammell richardson-morse seiji-okamura mak-takano hiroshi-tom-tanaka catherine-dao kristoffer-ryan-winters valorie-armstrong jim-hild william-l-thomas diego-montoya jonathan-adler robert-aguilar-jr mark-bailey-2 matt-bennett-3 tony-boldi christopher-boyer mark-byrne-1 candice-t-cain aixa-clemente derrick-damions elaina-erika-davis joey-dente michael-egan-1 jeff-elmore carl-gilliard william-b-kaplan ming-lo sunshine-logrono denise-loveday neal-matarazzo cassidy-mcmillan molly-mueller paul-l-nolan marisa-petroro errica-poindexter ja-preston frank-principe leo-rogstad russell-sanderlin-sr frank-silva-1 john-a-taylor todd-thompson-1 cenk-uygur holly-cross-vagley eric-alan-wendell delaney-williams
cool-hand-luke,stuart-rosenberg-1,paul-newman george-kennedy luke-askew morgan-woodward harry-dean-stanton dennis-hopper lou-antonio robert-drivas strother-martin jo-van-fleet clifton-james marc-cavell richard-davalos robert-donner jd-cannon-1 joe-don-baker james-gammon chuck-hicks rance-howard james-jeter joy-harmon anthony-zerbe warren-finnerty john-mcliam wayne-rogers charles-tyner ralph-waite buck-kartalian kim-kahana donn-pearce john-pearce rush-williams
coraline,henry-selick-1,dakota-fanning teri-hatcher jennifer-saunders dawn-french keith-david john-hodgman robert-bailey-jr ian-mcshane aankha-neal george-selick hannah-kaiser harry-selick marina-budovsky emerson-tenney jerome-ranft christopher-murrie jeremy-ryder carolyn-crawford yona-prost john-linnell-1
the-core,jon-amiel,aaron-eckhart hilary-swank delroy-lindo stanley-tucci tcheky-karyo dj-qualls richard-jenkins bruce-greenwood christopher-shyer ray-galletti eileen-pedde rekha-sharma tom-scholte glenn-morshower anthony-harrison alfre-woodard fred-keating-2 bart-anderson nicole-leroux justin-callan chris-humphreys dion-johnstone fred-ewanuick hrothgar-mathews ming-tzong-hong jennifer-spence-1 michael-st-john-smith john-shaw nickolas-baric rosa-di-brigida roberto-roberto ermanno-de-biagi marcello-laurentis matt-winston claire-riley marke-driesschen laurie-murdoch costa-spanos monique-martel lenie-scoffie nathaniel-deveaux robert-manitopyes alejandro-abellan benjamin-barton angelica-hayden robert-paul-lewis alec-medlock alonso-oyarzun priscilla-poland shawn-green greg-bennett jeffrey-gold rick-kain pamela-martin
the-count-of-monte-cristo-2002,kevin-reynolds,jim-caviezel guy-pearce richard-harris james-frain dagmara-dominczyk michael-wincott luis-guzman-1 christopher-adamson j-b-blanc henry-cavill
coyote-ugly,david-mcnally,piper-perabo adam-garcia john-goodman izabella-miko tyra-banks maria-bello bridget-moynahan sarah-jane-morris melanie-lynskey kaitlin-olson susan-yeagley-1 jj-snyder jill-gettelson whitney-dylan melody-perkins michael-weston chip-chinery nick-vallelonga michael-bay del-pentecost leann-rimes jeremy-rowley-1 ellen-cleghorne-1 john-fugelsang bud-cort frank-medrano-1 elizabeth-beckwith diane-hudock wali-collins nicole-ghastin jonathan-klein alexandra-balahoutis johnny-knoxville chris-wylde mandy-amano stephanie-hodge carla-alapont allison-ford kathy-nowrey joseph-patrick-kelly greg-collins stephen-snedden james-t-sale joe-bucaro-iii
crash-2004,paul-haggis,sandra-bullock don-cheadle matt-dillon michael-pena jennifer-esposito brendan-fraser nona-gaye terrence-howard ludacris-1 thandie-newton ashlyn-sanchez marina-sirtis larenz-tate beverly-todd kathleen-york keith-david william-fichtner daniel-dae-kim ryan-phillippe karina-arroyave dato-bakhtadze art-chudabala tony-danza loretta-devine ime-etuk eddie-j-fernandez howard-fong billy-gallo ken-garito octavio-gomez-berrios james-haggis sylva-kelegian jayden-lund jack-mcgee amanda-moresco martin-norseman joe-ordaz greg-joung-paik yomi-perry alexis-rhee molly-schaffer paul-e-short-1 bahar-soomekh allan-steele kate-super glenn-taranto shaun-toub curt-clendenin alastair-douglas-1 nicholas-george-stark-1 bruce-kirby sean-cory-cooper-1
crazy-rich-asians,jon-m-chu-2,constance-wu henry-golding michelle-yeoh gemma-chan lisa-lu awkwafina harry-shum-jr ken-jeong sonoya-mizuno chris-pang jimmy-o-yang ronny-chieng remy-hii nico-santos jing-lusi carmen-soo pierre-png fiona-xie victoria-loke janice-koh-yu-mei amy-cheng chieng-mun-koh tan-kheng-hua constance-lau selena-tan kris-aquino peter-carroll jasmine-chen daniel-jenkins kina-kasuya-grannis jessica-galetti charles-grounds marcus-mok shuhei-kinoshita tumurbaatar-enkhtungalag russell-wong jasmine-kaar
crazy-stupid-love,glenn-ficarra john-requa,steve-carell ryan-gosling julianne-moore emma-stone marisa-tomei kevin-bacon analeigh-tipton jonah-bobo joey-king beth-littleford john-carroll-lynch liza-lapira josh-groban mekia-cox julianna-guill crystal-reed zayne-emory joanne-brooks caitlin-thompson karolina-wydra tracy-mulholland katerina-mikailenko janine-barris jenny-mollen jessica-diz olga-fonda megan-james rebecca-flinn-white reggie-lee charlie-hartsock algerita-wynn-lewis wendy-worthington dan-butler tiara-parker laurel-coppock rasika-mathur-1 joshua-sternlicht jasen-salvatore michael-john-long-1 ami-haruna brian-patrick-butler
cream-royal-albert-hall-london-may-2-3-5-6-2005,,eric-clapton jack-bruce ginger-baker-1
crouching-tiger-hidden-dragon,ang-lee,chow-yun-fat michelle-yeoh zhang-ziyi chang-chen-1 cheng-pei-pei-1 sihung-lung fa-zeng-li su-ying-huang xian-gao yan-hai de-ming-wang li-li bin-chen-1
the-crying-game,neil-jordan,stephen-rea jaye-davidson miranda-richardson forest-whitaker adrian-dunbar-1 jim-broadbent ralph-brown tony-slattery birdy-sweeney breffni-mckenna joe-savino josephine-white shar-campbell bryan-coleman ray-de-haan david-crionelly jack-carr-2 andree-bernard
the-curious-case-of-benjamin-button,david-fincher,cate-blanchett brad-pitt tilda-swinton julia-ormond elle-fanning madisen-beaty jason-flemyng elias-koteas taraji-p-henson josh-stewart-1 faune-a-chambers donna-duplantier jacob-tolano ed-metzger danny-vinson david-jensen joeanna-sayler rus-blackwell mahershala-ali adrian-armas phyllis-somerville lance-e-nichols david-ross-paterson-1 fiona-hale marion-zinser edith-ivey patrick-thomas-obrien ted-manson clay-cullen peter-donald-badalamenti-ii paula-gray jared-harris earl-maddox bianca-chiminello emma-degerstedt megan-brown clay-chamberlin chandler-canterbury
dances-with-wolves,kevin-costner,kevin-costner mary-mcdonnell graham-greene rodney-a-grant floyd-red-crow-westerman tantoo-cardinal-1 robert-pastorelli charles-rocket maury-chaykin jimmy-herman nathan-lee-chasing-his-horse michael-spears jason-r-lone-hill tony-pierce doris-leader-charge tom-everett larry-joshua kirk-baltz wayne-grace donald-hotton annie-costner elisa-daniel percy-white-plume john-tail steve-reevis sheldon-peters-wolfchild wes-studi buffalo-child clayton-big-eagle richard-leader-charge redwing-ted-nez marvin-holy raymond-newholy david-j-fuller ryan-white-bull otakuye-conroy maretta-big-crow steven-chambers william-h-burton-jr bill-w-curry nick-thompson-2 carter-hanner kent-hays robert-goldman frank-p-costanza james-a-mitchell r-l-curtin justin-1 teddy buck-1 conor-duffy rl-curtin j-wesley-adams bill-costner jim-wilson william-rossman
dantes-peak,roger-donaldson,pierce-brosnan linda-hamilton jamie-renee-smith jeremy-foley elizabeth-hoffman-1 charles-hallahan grant-heslov arabella-field tzi-ma brian-reddy lee-garlington bill-bolender carole-androsky peter-jason christopher-murray-1 jeffrey-l-ward tim-haldeman walker-brandt hansford-rowe susie-spear-purcell david-lipper heather-stephens rj-burns tammy-l-smith justin-williams donna-ostrom marilyn-leubner ed-stone mike-butters ingo-neuhaus kirk-trutner-1
the-darjeeling-limited,wes-anderson,owen-wilson jason-schwartzman adrien-brody bill-murray anjelica-huston camilla-rutherford wallace-wolodarsky natalie-portman amara-karan waris-ahluwalia irrfan-khan barbet-schroeder kumar-pallana dalpat-singh a-p-singh trudy-mathis margot-godros hitesh-sindi kishen-lal bhawani-sankar mukhtiar-bhai suraj-kumar kapil-dubey
the-dark-crystal,frank-oz jim-henson,jim-henson kathryn-mullen frank-oz dave-goelz steve-whitmire brian-muehl stephen-garlick lisa-maxwell billie-whitelaw percy-edwards barry-dennen michael-kilgarriff jerry-nelson thick-wilson john-baddeley david-buck charles-collingwood sean-barrett patrick-monckton susan-westerby joseph-oconor deep-roy kiran-shah jack-purvis
batman-begins,christopher-nolan,christian-bale michael-caine liam-neeson katie-holmes gary-oldman cillian-murphy morgan-freeman tom-wilkinson rutger-hauer mark-boone-junior ken-watanabe linus-roache-1 gus-lewis emma-lockhart colin-mcfarlane jay-buozzi-1 larry-holden christine-adams vincent-wong-1 sara-stewart richard-brake gerard-murphy charles-edwards-2 tim-booth-1 rade-serbedzija risteard-cooper-1 andrew-pleavin shane-rimmer jeremy-theobald jack-gleeson-1 jon-foo joey-ansah spencer-wilding dave-legeno khan-bonfils rodney-ryan-1 dean-alexandrou tj-ramini-1 kieran-hurley-1 catherine-porter-1 john-nolan karen-david jonathan-d-ellis-1 tamer-hassan ronan-leahy tom-wu mark-chiu-1 turbo-kong sai-kit-yung chike-chan jamie-hayden-1 david-murray darragh-kelly john-kazek-1 joseph-rye kwaku-ankomah-1 jo-martin-1 lucy-russell mark-straker-1 timothy-deenihan-1 flavia-masetto-1 emily-steven-daly-1 david-bedella martin-mcdougall noah-lee-margetts joe-hanley-1 karl-shiels-2 roger-griffiths-1 stephen-walters richard-laing matt-miller alexandra-bastedo john-judd-2 soo-hee-ding-1 phill-curr-1 sarah-wateridge charlie-kranz-1 terry-mcmahon cedric-young tom-nolan roger-yuan joe-sargent-1 emmanuel-idowu mel-taylor ilyssa-fradin-1 jeff-christian tenzin-gyurme-1 tenzin-clive-ball-1 john-burke-8 earlene-bentley-1 alex-moggridge rory-campbell poppy-tierney-1 mark-rhino-smith-1 ruben-halse-1 jordan-shaw-1 dominic-burgess-1 nadia-cameron-blakey-1 jeff-tanner omar-mostafa leon-delroy-williams-1 fabio-cardascia-1 emil-martirossian-1 mark-strange rick-avery james-embree-1 gil-kolirin jane-osborn dan-poole philip-harvey russell-wilcox tommy-gunn-1 ray-donn-1 conn-horgan-1
the-dark-knight,christopher-nolan,christian-bale michael-caine heath-ledger gary-oldman aaron-eckhart maggie-gyllenhaal morgan-freeman monique-gabriela-curnen ron-dean nestor-carbonell chin-han eric-roberts ritchie-coster anthony-michael-hall keith-szarabajka joshua-harto melinda-mcgraw nathan-gamble michael-jai-white colin-mcfarlane nydia-rodriguez-terracina-1 tom-lister-jr william-fichtner cillian-murphy patrick-leahy matt-skiba david-dastmalchian michael-vieau michael-stoyanov william-smillie-1 danny-goldring matthew-oneill-1 olumiji-olawumi greg-beam-1 erik-hellman-1 beatrice-rosen vincenzo-nicoli edison-chen andy-luther-1 james-farruggio-1 tom-mcelroy-1 will-zahrn-1 james-fierro-1 sam-derence-1 jennifer-knox-1 patrick-clear-1 sarah-jayne-dunn-1 charles-venn winston-g-ellis sophia-hinshelwood-1 keith-kupferer-1 joseph-luis-caballero-1 richard-dillane daryl-satcher-1 chris-petschler-1 aidan-feore-1 philip-bulcock paul-birchard walter-lewis-1 vincent-riotta-1 nancy-crane-1 k-todd-freeman matt-shallenberger-1 michael-andrew-gorman-1 lanny-lutz-1 peter-defaria-1 matt-rippy andrew-bicknell ariyon-bakare-1 doug-ballard-1 helene-wilson-1 tommy-campbell craig-heaney-3 lorna-gayle lisa-mcallister peter-brooke joshua-rollins-1 dale-rivera-1 matthew-leitch thomas-gaitsch-1 william-armstrong adam-kalesperis-1 tristan-tait bronson-webb david-ajala gertrude-kyles jonathan-ryland james-scales-1 nigel-carrington-1 ian-pirie lateef-lovejoy grahame-edwards roger-monk-1 ronan-summers wai-wong-2 michael-corey-foster-1 hannah-gunn-1 brandon-lambdin-1 jon-lee-brody debbi-burns maritza-cabrera shirin-caiola laura-chernicky henry-milton-chu-1 kelli-clevenger richard-divizio tony-domino david-fultz natalie-hallam-1 jordon-hodges erron-jay daniel-jefferson nicky-katt thomas-kosik don-kress tim-krueger dan-latham-1 tom-mccomas-2 james-mellor-1 joseph-oliveira buster-reeves-1 peter-rnic amit-shah-1 michelle-shields sofiya-smirnova bruce-spielbauer robert-patrick-stern robert-stone-2 richard-strobel tom-townsend john-turk john-warman erik-a-williams-1 chris-wilson kevin-zaideman-1
the-dark-knight-rises,christopher-nolan,christian-bale michael-caine gary-oldman anne-hathaway tom-hardy marion-cotillard joseph-gordon-levitt morgan-freeman matthew-modine alon-aboutboul ben-mendelsohn burn-gorman daniel-sunjata cillian-murphy liam-neeson juno-temple nestor-carbonell josh-stewart-1 aidan-gillen tom-conti joey-king josh-pence john-nolan warren-brown sam-kennard aliash-tepina nick-julian miranda-nolan-1 claire-julien brett-cullen reggie-lee joseph-lyle-taylor chris-ellis duane-henry-1 james-harvey-ward-1 gonzalo-menendez cameron-jack lex-daniel tyler-dean-flores thomas-lennon-2 trevor-white rob-brown-1 daina-griffith fredric-lehne-1 courtney-munch chris-hill-1 travis-guba jay-benedict will-estes david-dayan-fisher glen-powell ben-cornish russ-fega andres-perez-molina brent-briscoe oliver-cotton mark-killeen sarah-goldberg john-macmillan robert-wisdom ronnie-gene-blevins john-hollingworth ian-bohen uri-gavriel noel-gugliemi hector-atreyu-ruiz patrick-cox aramis-knight william-devane david-gyasi patrick-jordan-3 joshua-elijah-reese desmond-harrington mychael-bates tomas-arana peter-holden david-monahan jillian-armenante aja-evans aldous-davidson wade-williams-1 jake-canuso julie-mun rory-nolan-1 harry-coles massi-furlan christopher-judge patrick-leahy todd-gearhart kevin-kiely-jnr daniel-newman-2 marc-abbink isiah-adams charlie-alejandro robert-arensen grant-babbitt fileena-bahris rick-bolander kyle-patrick-brennan scott-churchson bill-cowher graham-curry stephanie-domini-ehlert john-farrer frank-fata christopher-bryan-gomez vito-grassi michael-wren-gucciardo ed-heavey john-w-iwanonkiw cindy-jackson daniel-jordano william-kania tiffany-kemp sun-jae-kim-1 hrvoje-klecz alex-kruz tyler-la-marr lejon paul-jude-letersky-1 joe-lipari silvia-lombardo jorge-mardel cale-mcconnell david-dale-mccue salomon-passariello tiffany-sander-mckenzie allen-merritt olan-montgomery-1 alex-moore shane-nolan jackson-nunn joseph-obrien-1 michael-papajohn kyle-david-pierce troy-polamalu michael-power james-rawlings kirsten-roeters ben-roethlisberger mark-roman eric-salazar emily-schooley thomas-tull chris-vaina vincent-van-ommen michelle-vezzani barbara-vincent justin-michael-woods jason-yee maria-zambrana john-zion alex-ziwak tommy-bayiokos matthew-gooley jeff-moffitt diogo-hausen gary-sievers orion-mccabe london-may james-quinn-9 joe-fishel vanessa-alameda ming-wang-2
